Cột 1 (TT),Cột 2 (Họ và tên cán bộ),Cột 3 (Chức vụ),Cột 4 (Đơn vị),Cột 5 (Mối quan hệ),Cột 6 (Họ và tên thân nhân),Cột 7 (Tên khác),"Cột 8 (Ngày, tháng, năm sinh)",Cột 9 (Quê quán),Cột 10 (Quốc tịch),Cột 11 (CCCD),Cột 12 (Nghề nghiệp),Cột 13 (Nơi đăng ký HKTT),Cột 14 (Nơi ở hiện nay),Cột 15 (Số Căn cước công dân),Cột 16 (Số hồ sơ),Cột 17 (Nội Dung),"Cột 18 (Đơn vị học tập, làm việc, sinh sống ở nước ngoài)",Cột 19 (Quốc Gia),"Cột 20 (Thời gian học tập, làm việc, sinh sống ở nước ngoài)",Cột 21 (Nguồn Kinh phí (Tự túc; học bổng; mời làm việc; tài trợ )),Cột 22 (Đơn vị công tác hiện nay),Cột 23 (Kết hôn với người nước ngoài),Cột 24 (Làm việc tại công ty có vốn đầu tư nước ngoài),Cột 25 (Xử lý vi phạm NN (Nước sở tại)),Cột 26 (Xử lý vi phạm VN (Pháp luật Việt Nam))
1,Nguyễn Văn Cán Bộ,Trưởng phòng,Phòng HC,Con ruột,Nguyễn Văn Con,,2015,Hà Nội,Việt Nam,,Học sinh,Hà Nội,Hà Nội,,,,ĐH Sydney,Úc,2020-nay,Tự túc,,,,,
2,Nguyễn Văn Cán Bộ,Trưởng phòng,Phòng HC,Vợ,Trần Thị Vợ,,1988,Hà Nội,Việt Nam,1188123456,Giáo viên,Hà Nội,Hà Nội,1188123456,,,,Úc,,,,,,,
3,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Cha ruột,Phạm Văn Rượu,Không,1954,Bình Dương,Việt Nam,1234,làm nông,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
4,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Ông nội,Huỳnh Văn Cước,Không,1918,Bình Dương,Việt Nam,1234,Chạy xe ngựa,Đã mất năm 1949,Đã mất năm 1949,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
5,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Bà nội,Phạm Thị Gắn,Không,1922,Bình Dương,Việt Nam,1234,Buôn bán,Đã mất năm 1983,Đã mất năm 1983,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
6,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Mẹ ruột,Nguyễn Thị Định,Không,1957,Bình Dương,Việt Nam,1234,Nội trợ,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
7,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Ông ngoại,Nguyễn Văn Cúc,Không,1920,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 1992,Đã mất năm 1992,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
8,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Bà ngoại,Phạm Thị Chuỗi,Không,1922,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 2011,Đã mất năm 1992,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
9,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Vợ/chồng,Vương Thị Vân Anh,Không,1983,Bình Dương,Việt Nam,1234,Giáo viên Trường THPT Nguyễn Đình Chiểu,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
10,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Con Thứ 1,Phạm Gia Phúc,Không,2011,Bình Dương,Việt Nam,1234,Học sinh,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
11,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Con Thứ 2,Phạm Hoàng Nam,Không,2015,Bình Dương,Việt Nam,1234,Học sinh,"Phú Mỹ, Thủ Dầu Một","Phú Mỹ, Thủ Dầu Một",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
12,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Cha vợ/chồng,Vương Văn Tuấn,Không,1961,Bình Dương,Việt Nam,1234,Buôn bán,"Hòa Lợi, Bến Cát, TP.HCM","Hòa Lợi, Bến Cát, TP.HCM",Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
13,Phạm Văn Nồng,Phường Thủ Dầu Một,Phó Bí Thư Thường trực,Ông nội vợ/chồng,Vương Văn Lầu,Không,1928,Bình Dương,Việt Nam,1234,làm nông,Đã mất năm 2005,Đã mất năm 2006,Không có thông tin,Không có thông tin,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,Không có thông tin,Không có thông tin,,
